variable,VIF
DRXTALCO,209.9194484485714
DRXT_A_DRINKS,209.9194484485714
DRXTP182,181.89982242224087
VNDRXSPFAT,181.89982242224087
RIAGENDR_dietary,178.4476327603671
SDDSRVYR_response,178.4476327603671
SDDSRVYR,172.70964053880786
SDDSRVYR_questionnaire,172.70964053880786
SDDSRVYR_chemicals,100
SDDSRVYR_comments,100
DRXTM181,100
VNDRXSMFAT,100
LBDSALSI,100
LBXSAL,100
LBDSTBSI,100
LBXSTB,100
VNDRXS1416,93.77927763300526
VNDRXS141618,93.77927763300526
DRXTS040,70.34315746289755
VNDRXS0406,70.34315746289755
DRXTS160,68.98370585301537
VNDRXSSFAT,48.19037249803596
PERMTH_INT,37.743755078397356
PERMTH_EXM,37.743755078397356
DRXTSFAT,35.033621325795416
DRXTMFAT,31.775622850718076
DRXTPFAT,24.576357071528065
DRXTS060,22.31554720581959
DRXTS120,21.12813421277676
VNDRXS081012,21.12813421277676
DRXTS180,17.29614278129811
DRXTTFAT,13.912588932325272
SDDSRVYR_mortality,13.674873384415845
SDDSRVYR_occupation,13.674873384415845
RIAGENDR,13.52086081296473
SDDSRVYR_dietary,13.52086081296473
