variable,VIF
DRXTALCO,209.9194484485714
DRXT_A_DRINKS,209.9194484485714
DRXTP182,181.89982242224087
VNDRXSPFAT,181.89982242224087
RIAGENDR_dietary,178.4476327603671
SDDSRVYR_response,178.4476327603671
SDDSRVYR,172.70964053880786
SDDSRVYR_questionnaire,172.70964053880786
SDDSRVYR_chemicals,100
SDDSRVYR_comments,100
DRXTM181,100
VNDRXSMFAT,100
LBDSALSI,100
LBXSAL,100
LBDSTBSI,100
LBXSTB,100
VNDRXS1416,93.77927763300526
VNDRXS141618,93.77927763300526
DRXTS040,70.34315746289755
VNDRXS0406,70.34315746289755
DRXTS160,68.98370585301537
VNDRXSSFAT,48.19037249803596
PERMTH_INT,37.743755078397356
PERMTH_EXM,37.743755078397356
DRXTSFAT,35.033621325795416
DRXTMFAT,31.775622850718076
DRXTPFAT,24.576357071528065
DRXTS060,22.31554720581959
DRXTS120,21.12813421277676
VNDRXS081012,21.12813421277676
DRXTS180,17.29614278129811
DRXTTFAT,13.912588932325272
SDDSRVYR_mortality,13.674873384415845
SDDSRVYR_occupation,13.674873384415845
RIAGENDR,13.52086081296473
SDDSRVYR_dietary,13.52086081296473
SDMVSTRA,9.732135795505378
DRXT_G_TOTAL,8.876325548961713
DRXT_G_REFINED,8.876325548961713
DRXTS100,8.779329330424414
DRXTS140,8.779329330424414
DRXTS080,7.856912484329942
RIDAGEYR,6.84513654767598
RIDAGEYR_dietary,6.84513654767598
DRXT_V_STARCHY_POTATO,5.962708158037174
DRXT_V_STARCHY_TOTAL,5.962708158037174
DRXT_PF_MPS_TOTAL,5.5599211736585366
DRXT_PF_TOTAL,5.5599211736585366
DMDFMSIZ,5.0232247560570356
DMDHHSIZ,5.0232247560570356
DRXT_SOLID_FATS,4.809284911394781
DRXT_V_REDOR_TOMATO,4.712861715632913
DRXT_V_REDOR_TOTAL,4.712861715632913
SDDSRVYR_medications,4.63806180996517
DRXTP205,4.245379165289909
DRXTP226,4.245379165289909
DRXTCALC,3.9995894807489134
DRXT_D_TOTAL,3.9995894807489134
DRXTKCAL,3.8950535429768642
DRXTPROT,3.7947648528746036
DRXTPHOS,3.7947648528746036
DRXTCARB,3.760524484459361
DRXTMAGN,3.389437354514967
DRXTPOTA,3.389437354514967
DRXTP183,3.232623292589417
DRXTSELE,3.1321422223924964
DRXTNIAC,3.0222222894215967
DRXTVB6,3.0222222894215967
DRXTM161,2.9451954415935018
DRXTP225,2.7980352031126867
DRXT_OILS,2.683764800074623
DRXT_D_MILK,2.6220769987310804
DRXTCHOL,2.562728335767646
DRXT_PF_EGGS,2.562728335767646
DRXTFIBE,2.442931556648017
DRXTSODI,2.3632235214353137
DRXT_PF_SEAFD_HI,2.282161263277694
DRXTP204,2.2464284120488727
DRXTVB1,2.2341086771190755
DRXTIRON,2.2341086771190755
DRXT_F_TOTAL,2.2022573840532336
DRXT_F_OTHER,2.2022573840532336
DRXTBCAR,2.181848977483059
DRXT_V_REDOR_OTHER,2.181848977483059
DMDHRAGE,2.0549104356250414
