variable,type
SDDSRVYR,numeric
URXUCD,numeric
LBXSCA,numeric
LBXSCLSI,numeric
LBXCOT,numeric
URXUIO,numeric
LBXBPB,numeric
LBXSKSI,numeric
LBXBSE,numeric
LBXSNASI,numeric
LBDTLY,numeric
LBXALC,numeric
LBXCRY,numeric
LBXLUZ,numeric
LBXVIA,numeric
LBXVIDMS,numeric
URDUCDLC,numeric
LBXSCALC,numeric
LBDCOTLC,numeric
URDUIOLC,numeric
LBDBPBLC,numeric
LBDTLYLC,numeric
LBDALCLC,numeric
LBDCRYLC,numeric
LBDLUZLC,numeric
LBDVIDLC,numeric
DMDBORN4,numeric
DMDEDUC2,numeric
DMDFMSIZ,numeric
DMDHHSIZ,numeric
DMDHRAGE,numeric
DMDHRBR4,numeric
DMDHREDU,numeric
DMDHRGND,numeric
DMDHRMAR,numeric
DMDMARTL,numeric
FIALANG,numeric
INDFMIN2,numeric
INDFMPIR,numeric
MIALANG,numeric
RIAGENDR,numeric
RIDAGEYR,numeric
RIDEXAGM,numeric
RIDRETH1,numeric
RIDSTATR,numeric
SDMVPSU,numeric
SDMVSTRA,numeric
survey_day,numeric
DRXDAY,numeric
DRXLANG,numeric
DRXMRESP,numeric
DRXTKCAL,numeric
DRXTPROT,numeric
DRXTCARB,numeric
DRXTTFAT,numeric
DRXTSFAT,numeric
DRXTMFAT,numeric
DRXTPFAT,numeric
DRXTCHOL,numeric
DRXTFIBE,numeric
DRXTVARA,numeric
DRXTVB1,numeric
DRXTVB2,numeric
DRXTNIAC,numeric
DRXTVB6,numeric
DRXTFOLA,numeric
DRXTVB12,numeric
DRXTVC,numeric
DRXTATOC,numeric
DRXTCALC,numeric
DRXTPHOS,numeric
DRXTMAGN,numeric
DRXTIRON,numeric
DRXTZINC,numeric
DRXTCOPP,numeric
DRXTSODI,numeric
DRXTPOTA,numeric
DRXTSELE,numeric
DRXTCAFF,numeric
DRXTALCO,numeric
DRXTMOIS,numeric
DRXTS040,numeric
DRXTS060,numeric
DRXTS080,numeric
DRXTS100,numeric
DRXTS120,numeric
DRXTS140,numeric
DRXTS160,numeric
DRXTS180,numeric
DRXTM161,numeric
DRXTM181,numeric
DRXTM201,numeric
DRXTM221,numeric
DRXTP182,numeric
DRXTP183,numeric
DRXTP184,numeric
DRXTP204,numeric
DRXTP205,numeric
DRXTP225,numeric
DRXTP226,numeric
DRXTRET,numeric
DRXTBCAR,numeric
DRXTVD,numeric
DRXT_G_TOTAL,numeric
DRXT_G_WHOLE,numeric
DRXT_G_REFINED,numeric
DRXT_V_TOTAL,numeric
DRXT_V_DRKGR,numeric
DRXT_V_REDOR_OTHER,numeric
DRXT_V_STARCHY_POTATO,numeric
DRXT_V_STARCHY_OTHER,numeric
