CS,Variable,Index,PIP,Coverage,MinAbsCorr,MeanAbsCorr,MedianAbsCorr,Z_Score
CS1,OCD150,152,1,1,1,1,1,46.123809833440134
CS10,VNEGFRADJ,249,0.5864903141900045,0.9993613277544078,0.9750270288319187,0.9750270288319187,0.9750270288319187,-28.13354721746023
CS10,VNEGFR,248,0.41931669692949314,0.9993613277544078,0.9750270288319187,0.9750270288319187,0.9750270288319187,-28.352018903838477
CS2,SDMVSTRA,47,0.9999082668101779,0.9999076826550043,1,1,1,-35.89462905859302
CS3,VNHYPERTEN_Yes,298,1,1,1,1,1,27.435789461080194
CS4,VNDIABETES_Yes,297,1,1,1,1,1,22.816839073248023
CS5,BPXML1,190,0.9905080041378858,0.990447474360169,1,1,1,15.539921795167967
CS6,RIAGENDR,41,0.9999999935976209,0.9999999935568593,1,1,1,-5.738155121539659
CS7,RXDUSE,151,0.9999999413226883,0.9999999409484311,1,1,1,-23.850066656014306
CS8,RXDCOUNT,149,0.9999999999999718,0.9999999999999716,1,1,1,21.684380220315845
CS9,BMXARMC,199,0.9989483895204918,0.9989416946281653,1,1,1,-15.078933693833438
