CS,Variable,Index,PIP,Coverage,MinAbsCorr,MeanAbsCorr,MedianAbsCorr,Z_Score
CS1,eGFR,7,1,1,1,1,1,-22.939840725125993
CS10,RIDAGEYR,1,0.9732048866606768,0.973204696056346,1,1,1,7.322224327844332
CS2,BMXBMI,2,0.9999999973613837,0.9999999973584335,1,1,1,-11.996997402634397
CS3,DMDEDUC2,6,1,1,1,1,1,-14.131183036285409
CS4,LBXSLDSI,13,0.9999999999934741,0.9999999999934708,1,1,1,12.108525305591053
CS5,Dia_BP,4,0.9999999999999367,0.9999999999999367,1,1,1,-7.590698852823934
CS6,Sys_BP,18,1,1,1,1,1,10.31321532360177
CS7,RIAGENDR,17,0.9999999921675207,0.9999999921635206,1,1,1,-5.738155121539659
CS8,LBXHGB,10,0.9999700783483341,0.9999700590463807,1,1,1,-6.090783202560782
CS9,LBXSKSI,12,0.9996279330579666,0.9996277419252656,1,1,1,10.650107958692674
