Variable,PIP,InCS
DMDEDUC2,1,TRUE
eGFR,1,TRUE
Sys_BP,1,TRUE
Dia_BP,0.9999999999999996,TRUE
LBXSLDSI,0.9999999999999043,TRUE
BMXBMI,0.9999999998804207,TRUE
RIAGENDR,0.9999999996618777,TRUE
LBXHGB,0.9999944221455107,TRUE
LBXSKSI,0.9999226354945191,TRUE
RIDAGEYR,0.9934511590022197,TRUE
RIDRETH1,0.002084135141708132,FALSE
LBDHDD,4.8487104412042736e-4,FALSE
BMXWAIST,3.0623599454537853e-4,FALSE
LBXSIR,2.2639349176578616e-4,FALSE
LBXSPH,2.1667852798568088e-4,FALSE
Diabetic,2.08728207021891e-4,FALSE
LBXSNASI,1.2795090251205288e-4,FALSE
LBXSCA,1.1865415297063198e-4,FALSE
LBXTC,1.1741834051337552e-4,FALSE
LBXSUA,1.103973925219437e-4,FALSE
