CS,Variable,Index,PIP,Coverage,MinAbsCorr
CS1,eGFR,7,1,1,1
CS2,BMXBMI,2,0.9999999878546743,0.999999985744543,1
CS3,DMDEDUC2,6,1,1,1
CS4,LBXSLDSI,13,0.9999999992254645,0.9999999990910056,1
CS5,DMQMILIZ,33,0.999999400695358,0.9999992967186965,1
CS6,DRXTNIAC,35,0.9999999999815296,0.9999999999783187,1
CS7,Dia_BP,4,0.9999999999952242,0.99999999999439515,1
CS8,Sys_BP,18,1,1,1
CS9,DRXTVB2,44,0.9999998774253801,0.9556078111232414,1
CS10,LBXSKSI,12,0.9996555831002859,0.9999998560651865,1
CS11,DRXTFOLA,29,0.999999999957133,0.9995958247924912,1
CS12,DRXTIRON,27,0.9999986399691476,0.9999999999496598,1
