variable,dataset,usable,type,encoding_method,n_unique,n_missing,n_total,sample_values,notes
SEQN_new,chemicals,FALSE,NA,NA,20000,0,20000,NA,ID variable - exclude
SDDSRVYR,chemicals,TRUE,numeric,none,1,0,20000,-1,NA
LBXBSE2,chemicals,TRUE,numeric,none,108,17898,20000,"106, 117, 97, 109, 73",NA
LBDTLY1,chemicals,TRUE,numeric,none,83,4274,20000,"18, 30, 6, 20, 55",NA
LBDTLY2,chemicals,TRUE,numeric,none,73,17667,20000,"15, 28, 8, 23, 39",NA
LBXALC1,chemicals,TRUE,numeric,none,59,4274,20000,"4, 1, 6, 9, 2",NA
LBXALC2,chemicals,TRUE,numeric,none,37,17667,20000,"4, 1, 6, 13, 2",NA
LBXCBC,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXCRY1,chemicals,TRUE,numeric,none,83,4274,20000,"9, 6, 13, 10, 8",NA
LBXCRY2,chemicals,TRUE,numeric,none,49,17667,20000,"10, 7, 15, 8, 5",NA
LBXLUZ1,chemicals,TRUE,numeric,none,115,4274,20000,"40, 27, 11, 16, 20",NA
LBXLUZ2,chemicals,TRUE,numeric,none,74,17667,20000,"45, 29, 10, 26, 18",NA
LBXVIA1,chemicals,TRUE,numeric,none,150,4274,20000,"48, 74, 45, 53, 57",NA
LBXVIA2,chemicals,TRUE,numeric,none,107,17667,20000,"48, 77, 49, 56, 60",NA
URXUCD2,chemicals,TRUE,numeric,none,264,18323,20000,"0.55, 0.49, 0.19, 0.47, 0.01",NA
LBXSCA1,chemicals,TRUE,numeric,none,51,7337,20000,"9, 10, 9.6, 9.9, 9.3",NA
LBXBPB1,chemicals,TRUE,numeric,none,266,1902,20000,"2.7, 1.7, 4.2, 2.3, 6.6",NA
LBXBPB2,chemicals,TRUE,numeric,none,155,17618,20000,"2.1, 1.5, 3.2, 6.5, 1.3",NA
LBXSKSI1,chemicals,TRUE,numeric,none,271,7336,20000,"4.29, 3.99, 4.26, 4.23, 4.5",NA
LBXBSE1,chemicals,TRUE,numeric,none,144,7445,20000,"107, 104, 122, 115, 109",NA
LBXVIC1,chemicals,TRUE,numeric,none,292,5879,20000,"0.85, 0.87, 0.79, 1.15, 0.55",NA
LBXVIC2,chemicals,TRUE,numeric,none,202,18406,20000,"0.98, 1.14, 1.1, 0.36, 0.47",NA
URXUCD1,chemicals,TRUE,numeric,none,470,4660,20000,"0.34, 0.01, 0.56, 0.5, 0.13",NA
LBXSCLSI1,chemicals,TRUE,numeric,none,249,7336,20000,"108.3, 106, 101.1, 107.6, 104.1",NA
LBXCOT1,chemicals,TRUE,numeric,none,2525,4936,20000,"0.105, 0.222, 2.73, 2.99, 0.059",NA
LBXCOT2,chemicals,TRUE,numeric,none,2525,4936,20000,"0.105, 0.222, 2.73, 2.99, 0.059",NA
LBXCOT3,chemicals,TRUE,numeric,none,862,18458,20000,"0.15, 3.01, 0.065, 1.6, 4.02",NA
URXUIO2,chemicals,TRUE,numeric,none,287,18442,20000,"26, 390, 178, 65, 11",NA
LBXSNASI1,chemicals,TRUE,numeric,none,227,7336,20000,"141.5, 142.9, 138.9, 140.2, 140.9",NA
LBXB122,chemicals,TRUE,numeric,none,595,18842,20000,"344, 635, 238, 263, 85",NA
LBXB121,chemicals,TRUE,numeric,none,1037,15545,20000,"413, 426, 555, 650, 223",NA
URXUIO1,chemicals,TRUE,numeric,none,479,4883,20000,"24, 48, 175, 230, 39",NA
LBXACR,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBXGLY,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX10AL,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX3AL,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
LBX4AL,chemicals,FALSE,NA,NA,NA,20000,20000,NA,All values missing
